parent_id,user,item_type,text_content,sentiment,sentiment_score,sentiment_reasoning
tweet_0,Unknown,TWEET,"Yandex'le Messi, Ronaldo, İbrahimoviç bir hayal değil |  http:// fenerbahce.org/detay.asp?Cont entID=46309 …",POSITIVO,0.8,"Expresa entusiasmo sobre una posibilidad futbolística deseable (Messi, Ronaldo, Ibrahimovic en Fenerbahce)."
tweet_0,ReplyUser,REPLY,https:// x.com/maurowhark/sta tus/1784960889466114252/video/1 …,NEUTRAL,0.5,Solo comparte un enlace sin texto que indique claramente sentimiento.
tweet_0,ReplyUser,REPLY,bu baya komik bi olaydi ag,POSITIVO,0.7,Califica la situación como 'komik' (divertida) mostrando diversión.
tweet_0,ReplyUser,REPLY,Paramparçayım,NEGATIVO,0.6,"'Paramparçayım' significa 'estoy destrozado', expresando desilusión o tristeza."
tweet_0,ReplyUser,REPLY,allahiiimmmmmm,POSITIVO,0.8,'Allahiiimmmmmm' es una exclamación de asombro o emoción positiva.
tweet_0,ReplyUser,REPLY,@Fenerbahce  hakaten imkansız değilmiş messi ronalda diye arattim valla onlar çıktı helal olsun  size,POSITIVO,0.9,"Expresa admiración ('helal olsun'), sorpresa positiva y validación de la posibilidad."
tweet_1,Unknown,TWEET,Şunun güzelliğine bak amk bir maç bile olsa Messi'yi Galatasaray formasıyla görmek istiyoruz,POSITIVO,0.85,"Muestra fuerte deseo positivo de ver a Messi en Galatasaray, aunque incluye 'amk' como expresión coloquial."
tweet_2,Unknown,TWEET,aşk..,POSITIVO,0.9,"'aşk..' significa 'amor..', expresión clara de afecto positivo."
tweet_2,ReplyUser,REPLY,Messiye sevgimden yengeye bakmadım,POSITIVO,0.8,"Declara gran amor por Messi ('sevgimden'), priorizándolo sobre otra cosa."
tweet_2,ReplyUser,REPLY,yenge de erik gibiymiş,POSITIVO,0.7,Comparación positiva ('erik gibi' - como una ciruela) mostrando aprecio.
tweet_2,ReplyUser,REPLY,Of,POSITIVO,0.75,"'Of' es una exclamación de admiración o deseo, comúnmente positiva en este contexto."
tweet_2,ReplyUser,REPLY,gote bak gote got degil et sote,POSITIVO,0.8,Elogio físico exagerado y positivo ('gote bak' - mira ese trasero).
tweet_2,ReplyUser,REPLY,Şu göte ıslatmadan 9 posta atarım,POSITIVO,0.85,Expresión de fuerte atracción y deseo en términos muy positivos.
tweet_3,Unknown,TWEET,"Arda Turan, ""Lionel Messi ve Galatasaray efsaneleri "" başlıklı paylaşımı paylaştı.",NEUTRAL,0.5,Declaración factual sobre una acción de Arda Turan sin juicio emocional.
tweet_3,ReplyUser,REPLY,Yeni mi bu yaaa,NEUTRAL,0.5,"Pregunta simple sobre la novedad del contenido, sin carga emocional clara."
tweet_3,ReplyUser,REPLY,Hatırlayan vardır oliviera da sofra bezi paylaştı arda,NEUTRAL,0.5,Comparte un recuerdo anecdótico sin expresar emoción positiva o negativa.
tweet_3,ReplyUser,REPLY,1 maç bile giysen yeter be o formayı,POSITIVO,0.8,Expresa fuerte deseo positivo de ver a Messi con la camiseta de Galatasaray.
tweet_3,ReplyUser,REPLY,Arda bı Messi fotosu sık taraftarın gazını al,NEUTRAL,0.6,"Sugerencia práctica con tono neutral, aunque 'sık' podría tener connotación leve negativa."
tweet_3,ReplyUser,REPLY,Bi bakmışsın 4 aya orada sadece Galatasaray efsaneleri yazıyormuş...,NEUTRAL,0.5,"Observación hipotética sobre el contenido futuro, sin emoción clara."
tweet_4,Unknown,TWEET,"Gerçekten olabilir mi?  Arda Turan, “Lionel Messi ve Galatasaray efsaneleri” başlıklı paylaşımı hikayesine ekledi.",NEUTRAL,0.6,"Pregunta sobre posibilidad ('Gerçekten olabilir mi?') con tono de curiosidad, no juicio emocional."
